id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
706555,1976-11-30T00:41:00,-68.844,-20.489,90.0,7.54,mw,181.0,27.0,-73.0,342.0,64.0,-99.0,44.71542814037139,78.38196209949928,12.092711323618804,336.13471908461867,42.76772263538868,234.704630908517,-1.79,-0.35,2.14,0.55,-1.42,-0.44,gem,,deep_subduction
M113076A,1976-11-30T00:41:13,-68.51,-20.54,133.7,6.5,mw,181.0,27.0,-73.0,342.0,64.0,-99.0,18.0,78.0,8.0,346.0,70.0,234.0,-1.79e+20,-3.5e+19,2.14e+20,5.500000000000001e+19,-1.42e+20,-4.4e+19,gcmt,,deep_subduction
C011777C,1977-01-17T21:27:36,-68.61,-24.89,134.4,6.1,mw,183.0,44.0,73.0,26.0,49.0,105.0,78.0,2.0,11.0,196.0,3.0,105.0,1.978e+19,4.43e+18,-2.422e+19,3.27e+18,1.33e+18,-8.21e+18,gcmt,gem:703668,deep_subduction
B041577A,1977-04-15T23:35:40,-69.27,-23.01,129.7,5.4,mw,121.0,51.0,-159.0,18.0,74.0,-41.0,14.0,74.0,46.0,180.0,40.0,332.0,-6.34e+16,-6.6e+16,1.294e+17,-2.7400000000000004e+16,-6.929999999999999e+16,-7.38e+16,gcmt,gem:699876,deep_subduction
B060877A,1977-06-08T13:25:24,-67.12,-22.21,185.5,5.4,mw,325.0,4.0,40.0,195.0,87.0,93.0,48.0,109.0,3.0,15.0,42.0,282.0,3.91e+16,-2300000000000000.0,-3.67e+16,-9.81e+16,-3.499e+17,1.29e+16,gcmt,gem:697026,deep_subduction
B061877A,1977-06-18T16:49:45,-68.48,-20.95,135.9,5.4,mw,101.0,35.0,-120.0,315.0,60.0,-71.0,13.0,32.0,16.0,126.0,69.0,264.0,-4.806e+17,4.42e+17,3.86e+16,1.688e+17,-2.5710000000000003e+17,-3.329e+17,gcmt,gem:697434,deep_subduction
B063077A,1977-06-30T02:46:07,-69.56,-19.64,122.2,5.4,mw,149.0,22.0,-108.0,348.0,69.0,-83.0,24.0,73.0,6.0,166.0,65.0,270.0,-2.343e+17,-6.48e+16,2.991e+17,6.41e+16,-3.132e+17,-1.395e+17,gcmt,gem:697917,deep_subduction
B082377A,1977-08-23T03:13:00,-68.23,-21.32,136.0,5.2,mw,125.0,37.0,-94.0,309.0,53.0,-87.0,8.0,37.0,2.0,128.0,81.0,232.0,-1.326e+17,8.97e+16,4.29e+16,3.16e+16,-2.98e+16,-8.72e+16,gcmt,gem:694955,deep_subduction
B092077A,1977-09-20T16:23:22,-68.51,-23.57,123.8,5.3,mw,164.0,47.0,-44.0,288.0,59.0,-127.0,7.0,43.0,31.0,309.0,58.0,145.0,-2.322e+17,1.119e+17,1.203e+17,1.5e+17,5.500000000000001e+16,-2.139e+17,gcmt,gem:693526,deep_subduction
B120777A,1977-12-07T00:32:36,-67.39,-28.57,124.0,5.5,mwc,148.0,42.0,-82.0,318.0,48.0,-97.0,3.0,53.0,5.0,322.0,84.0,171.0,-1.84e+17,6.38e+16,1.201e+17,2.37e+16,-5400000000000000.0,-1.0169999999999998e+17,us,gem:688770,deep_subduction
B040278B,1978-04-02T09:07:14,-69.42,-19.55,118.4,5.3,mw,155.0,37.0,-87.0,331.0,53.0,-92.0,8.0,63.0,2.0,333.0,82.0,230.0,-2.84e+17,9.58e+16,1.882e+17,4.43e+16,-6.05e+16,-6.12e+16,gcmt,gem:683150,deep_subduction
B060778B,1978-06-07T14:08:53,-68.05,-23.7,128.7,5.3,mw,167.0,28.0,-78.0,333.0,62.0,-97.0,17.0,68.0,6.0,336.0,72.0,228.0,-2.226e+17,-1.27e+16,2.3530000000000003e+17,8.5e+16,-1.487e+17,-1.1259999999999998e+17,gcmt,gem:680503,deep_subduction
B062878C,1978-06-28T07:28:03,-69.92,-27.2,119.7,5.3,mw,134.0,30.0,-139.0,8.0,71.0,-66.0,22.0,80.0,22.0,179.0,58.0,310.0,-3.199e+16,-1.551e+16,4.75e+16,-6840000000000001.0,-4.245e+16,-1.926e+16,gcmt,gem:681554,deep_subduction
B102778A,1978-10-27T10:06:56,-66.03,-21.86,299.6,5.6,mw,134.0,24.0,-126.0,353.0,71.0,-75.0,24.0,71.0,14.0,168.0,61.0,285.0,-3.359e+17,1.07e+16,3.252e+17,1.98e+16,-4.437e+17,-1.895e+17,gcmt,gem:675895,deep_subduction
B011379A,1979-01-13T08:39:18,-67.95,-24.17,137.0,5.3,mw,148.0,24.0,-89.0,326.0,66.0,-91.0,21.0,57.0,0.0,327.0,69.0,235.0,-6.08e+16,7630000000000000.0,5.317e+16,3.614e+16,-5.445e+16,-5.151e+16,gcmt,gem:670980,deep_subduction
